Questionnaire Code:,"Would you prefer receiving alerts/information/advice(exclusive deals, cashback offers, coupons), if so how?","	Would you like to avail any last minute deals/emergency deals?",        How often do you go to Movies/Sports/Public Events?,        How often do you go to Movies/Sports/Public Events?,How often do you go to Movies/Sports/Public Events?,"Do you prefer having food while in Movies/Sports/Public Events (Concert/Trade Fair)? If yes, what type?","	How much do you mostly spend on a single visit to Movies/Sports/Public Events (concert/trade fair) in Crowns?","	What are the factors considered while staying at a hotel?","	Would you lik to purchase items online, if offered bundle?","	What type of discounts/offers d you look for when you shop online?","	What type of discounts/offers do you look for whe you make MFS transactions?","	What type of discounts/offers do you look for whe you make MFS transactions?","	Do you use internet in your phone?","	What type of internet packages do you use?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","What is your monthly Expenditure in Crowns behind mobile phone? (Voice Call, Internet, SMS, Others)","	Do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What is the avg. amount spent per online shopping?","	% of online shopping Basket: Online shopping as a % of total shopping.",What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,"	Do you think you will decrease/stop online shopping in the next year?","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If your answer is ""no""","If your answer is ""no""","If your answer is ""no""",Do you think you will start using digital financial services next year?,"If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""",What is your preferred MFS to use when shopping online?,"	How would you prefer to get the refund?","	How would you prefer to get the refund?","	How would you prefer to get the refund?","	What is your gender?","	What is your age?",Age Profile,"	What is your profession?","	Which sector are you currently employed in?","	In which industry are you employed?","	What is your marital status?","	Where do you live?",What is your monthly household income?,Econ Profile,"	What type of person do you consider yourself in terms of online shopping?"
94,Phone call,"Yes, but at regular price",Once/twice in 6 months,Never,Once/twice in 6 months,I prefer having some light snacks like sandwich,"501-1,000",Brand,"Yes, at a discounted price",Cash discounts,,,No,Monthly Limited,Facebook,Viber,Gaming apps,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,More privacy assurance,Longer transaction time-out,Easy to use mobile app,No,,,,I purchase online,,,Maybe,Can transfer funds between accounts easily,Easy to make payment/Convenient,Floating deals during off-peak hours,Chime,Bank Account,Cash delivered,bkash,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Bashundhara,"Up to 50,000",Aspirant,I like to explore new things
95,Sms,"Yes, at a discounted price",Once/twice in a year,Once/twice in a year,Once/twice in 6 months,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Vicinity,"Yes, at regular price",Cash discounts,,,No,I don't use internet in my phone,Facebook,Maps,Gaming apps,"1,001 - 2,000",Never,Accessories,Gift Items,,"2,001 - 3,000",Up to 10%,Easy to use mobile app,Longer transaction time-out,,No,,,,I purchase online,,,Yes,Don't have to travel,Attractive discounts,no queue,Chime,Bank Account,Cash delivered,bkash,Male,31-40 years,Gen X,Employed,Private - Not for Profit,Doctor,Married with no kids,Mirpur,"Up to 50,000",Aspirant,I like to explore new things
96,Sms,"Yes, at a discounted price",Once a month,Once/twice in a year,Twice a month,I prefer having some soft drinks with popcorns/French fries,"2,001-3,000",Safety,"Yes, at a discounted price",Cash discounts,,,Yes,Monthly unlimited,Viber,Twitter,Gaming apps,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,More privacy assurance,,No,,,,Payment is difficult,Less option to choose from,Lack of discount/offers,Yes,Easy to make payment/Convenient,,,Chime,Bank Account,Cash delivered,,Female,31-40 years,Gen X,Employed,Private - For Profit,Education,Single with no kid,Dhanmondi,"50,001-100,000",Emerging,I like to explore new things
97,Sms,"Yes, but at regular price",Once/twice in 6 months,Never,Once/twice in a year,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Complimentary breakfast,"Yes, at a discounted price",Cash discounts,,,At times,Monthly Limited,Facebook,Instagram,Gaming apps,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,Facebook based customer services,,Maybe,User experience (App) was poor,Call center service was not up to the mark,Slow speed of delivery,I purchase online,,,Maybe,Don't have to travel,Attractive discounts,Last minute deals,SnapTap,Cash delivered,Concession on the next purchase,Earning credits for future purchase,Male,31-40 years,Gen X,Employed,Own Business,self employed in creative sector,Single with no kid,Mirpur,"Up to 50,000",Aspirant,I like to explore new things
98,Sms,"Yes, but at regular price",Once a month,Once/twice in 6 months,Once a month,I prefer having some light snacks like sandwich,"501-1,000",Environment,"Yes, at a discounted price",Cash discounts,,,No,I don't use internet in my phone,I don't use apps,,,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,Higher Transaction Limit,Longer transaction time-out,Easy to use mobile app,No,,,,Finds it complicated,I am not a tech savvy person,,Maybe,Easy to make payment/Convenient,,,Chime,Bank Account,Cash delivered,,Male,50+ years,Baby Boomers,Employed,Private - For Profit,Financial Institution,Married with more than 1 kid,Wari,"50,001-100,000",Emerging,I find adapting to new technology difficult
99,Website,"Yes, at a discounted price",Once a month,Once/twice in a year,Twice a month,I would rather prefer snacks/meal coupon while buying tickets to avoid any hassle,"1,001-2,000",Safety,No,Cash discounts,Internet balance top up,Cashback offer,At times,Monthly Limited,Facebook,Viber,Shohoz.com,"1,001 - 2,000",Once/twice in a year,Accessories,Electronic gadgets,,"701 - 1,000",Up to 10%,Easy to use mobile app,More privacy assurance,,No,,,,I purchase online,,,Yes,Attractive discounts,Floating deals during off-peak hours,Don't have to travel,Chime,Bank Account,Cash delivered,Bkash,Male,21-30 years,Millennials,Self-employed,Not Applicable,Education,Single with no kid,Rampura,"Up to 50,000",Aspirant,I like to explore new things
100,Sms,"Yes, at a discounted price",Once/twice in 6 months,Never,Never,I prefer complementary meal/food service,"501-1,000",Safety,No,Cash discounts,Gifts (Free tickets/food voucher),,At times,Monthly unlimited,WhatsApp,Imo,Viber,"2,001 - 3,000",Twice a month,Accessories,Electronic gadgets,,"1,001 - 2,000",Up to 10%,Easy to use mobile app,Call center facilities,More privacy assurance,No,,,,I purchase online,,,Yes,Attractive discounts,Last minute deals,Don't have to travel,Chime,Bank Account,Cash delivered,,Male,31-40 years,Gen X,Employed,Private - For Profit,Telecom,Single with no kid,Mirpur,"Up to 50,000",Aspirant,I like to explore new things
101,Sms,"Yes, but at regular price",Once/twice in 6 months,Never,Never,I prefer having tea/coffee,"1,001-2,000",Brand,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Monthly unlimited,Facebook,,,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,Call center facilities,Easy to use mobile app,,No,,,,Can't find what is being looked for,Less option to choose from,Can't tell if the product is genuine,No,,,,Chime,Cash delivered,rocket/ Bkash,,Male,31-40 years,Gen X,Employed,Private - For Profit,Research firm,Single with no kid,Uttara,"50,001-100,000",Emerging,I like to explore new things
102,Sms,"Yes, at a discounted price",Once/twice in 6 months,,Once/twice in a year,I prefer having some light snacks like sandwich,"501-1,000",Environment,"Yes, at regular price",Cash discounts,Cashback offer,Coupons,Yes,Monthly Limited,Facebook,YouTube,Food ordering apps,500 - 700,Once/twice in 6 months,Cloths,Electronic gadgets,Commodity,"701 - 1,000",11-30%,High Security ,Longer transaction time-out,Easy to use mobile app,No,,,,Payment is difficult,Poor customer service,Description of the product/service is not detailed,Maybe,Easy to make payment/Convenient,Reliable call center service,Don't have to travel,SnapTap,Cash delivered,Mobile balance top up,Earning credits for future purchase,Male,41-50 years,Baby Boomers,Self-employed,Own Business,Manufacturing,Married with 1 kid,Mirpur,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
103,Sms,"Yes, but at regular price",Once a month,Twice a month,More than twice a month,I prefer having chocolates/ice-creams,Up to 500,Luxury,No,Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Pay as you go,Uber,Maps,Shohoz.com,"701 - 1,000",Once/twice in 6 months,Electronic gadgets,Food,,"2,001 - 3,000",31-50%,Easy to use mobile app,Longer transaction time-out,,Yes,No bargaining option,User experience (App) was poor,User experience (Web) was poor,I purchase online,,,Maybe,Don't have to travel,Easy to make payment/Convenient,,SnapTap,Cash delivered,,,Male,31-40 years,Gen X,Employed,Private - For Profit,market firm,Single with no kid,Mirpur,"50,001-100,000",Emerging,I like to explore new things
104,Phone call,"Yes, at a premium price",Once/twice in 6 months,,,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Quality of the service,"Yes, at regular price",Cash discounts,Gifts (Free tickets/food voucher),Internet balance top up,Yes,Monthly unlimited,Ecommerce apps,Viber,Food ordering apps,500 - 700,Once a month,Cloths,Commodity,Food,"1,001 - 2,000",31-50%,High Security ,Longer transaction time-out,Easy to use mobile app,No,,,,Less option to choose from,Lack of discount/offers,No option for seat selection,Maybe,Efficient customer service,Attractive discounts,Easy to make payment/Convenient,SnapTap,Cash delivered,Internet balance top up,Concession on the next purchase,Female,31-40 years,Gen X,Homemaker,,,Married with no kids,Mirpur,"50,001-100,000",Emerging,I like to explore new things
105,Phone call,"Yes, at a discounted price",Once/twice in 6 months,,,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Ease of payment,"Yes, at regular price",Cash discounts,Mobile Talk time top up,Cashback offer,Yes,Monthly Limited,Facebook,WhatsApp,Food ordering apps,500 - 700,Once/twice in 6 months,Cloths,Commodity,Food,"1,001 - 2,000",11-30%,High Security ,Higher Transaction Limit,Easy to use mobile app,No,,,,Cannot trust online transaction,Poor customer service,Description of the product/service is not detailed,Maybe,Easy to make payment/Convenient,Reliable call center service,Don't have to travel,PayUp,Bank Account,Mobile balance top up,Earning credits for future purchase,Female,21-30 years,Millennials,Student,,,Single with no kid,Mirpur,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
106,Sms,"Yes, at a discounted price",Once/twice in a year,,,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Discount/Offers,"Yes, at regular price",Cash discounts,Mobile Talk time top up,Cashback offer,Yes,Monthly Limited,Facebook,Ecommerce apps,Food ordering apps,500 - 700,Once/twice in 6 months,Cloths,Accessories,Food,"1,001 - 2,000",11-30%,High Security ,Longer transaction time-out,Easy to use mobile app,No,,,,Finds it complicated,Payment is difficult,Lack of discount/offers,Maybe,Can transfer funds between accounts easily,Efficient customer service,Easy to make payment/Convenient,SnapTap,Cash delivered,Concession on the next purchase,Earning credits for future purchase,Female,31-40 years,Gen X,Homemaker,,,Married with no kids,Mirpur,"50,001-100,000",Emerging,I find adapting to new technology difficult
107,Email,"Yes, at a discounted price",Once/twice in 6 months,Never,Never,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Size of the room,"Yes, at regular price",Cash discounts,Internet balance top up,Coupons,Yes,Monthly Limited,Facebook,YouTube,Food ordering apps,500 - 700,Once/twice in 6 months,Cloths,Accessories,Food,"701 - 1,000",11-30%,Longer transaction time-out,Easy to use mobile app,,No,,,,Payment is difficult,Lack of discount/offers,Description of the product/service is not detailed,Maybe,Easy to make payment/Convenient,Attractive discounts,Don't have to travel,SnapTap,Mobile balance top up,Internet balance top up,Earning credits for future purchase,Female,Up to 20 years,iGen,Student,,,Single with no kid,Mirpur,"50,001-100,000",Emerging,I use internet mainly for socialization
108,Phone call,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in a year,,I prefer having some light snacks like sandwich,"501-1,000",Environment,"Yes, at regular price",Mobile Talk time top up,Internet balance top up,Coupons,Yes,Monthly Limited,Facebook,Ecommerce apps,Imo,Up to 500,Once/twice in 6 months,Accessories,Electronic gadgets,Food,"1,001 - 2,000",Up to 10%,More privacy assurance,Longer transaction time-out,Easy to use mobile app,No,,,,Cannot trust online transaction,Less option to choose from,Description of the product/service is not detailed,Maybe,Easy to make payment/Convenient,Don't have to travel,,SnapTap,Bank Account,Mobile balance top up,Concession on the next purchase,Female,21-30 years,Millennials,Student,,,Single with no kid,Mirpur,"50,001-100,000",Emerging,I think online payment system is not secured yet
109,Phone call,"Yes, at a premium price",More than twice a month,Twice a month,More than twice a month,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Quality of the service,"Yes, at a discounted price",Cash discounts,Coupons,,No,Monthly unlimited,Facebook,Viber,Food ordering apps,"1,001 - 2,000",Once/twice in a year,Furniture,,,500 - 700,31-50%,More privacy assurance,Easy to use mobile app,High mobile optimization,No,Over priced,Product/service not available online,User experience (App) was poor,Cannot trust online transaction,Can't tell if the product is genuine,,Yes,Don't have to travel,Attractive discounts,Easy to make payment/Convenient,Chime,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Employed,Public,NGO,Single with no kid,Banani,"Up to 50,000",Aspirant,Shopping online is my passion
110,Email,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in a year,Never,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Environment,"Yes, at regular price",Cash discounts,Internet balance top up,Coupons,Yes,Pay as you go,Facebook,YouTube,Food ordering apps,500 - 700,Once/twice in 6 months,Accessories,Electronic gadgets,Commodity,"701 - 1,000",11-30%,Higher Transaction Limit,Easy to use mobile app,,No,Poor customer service,Poor quality of product/service,Product/service not available online,Finds it complicated,Poor customer service,Description of the product/service is not detailed,Maybe,Efficient customer service,Attractive discounts,Don't have to travel,SnapTap,Cash delivered,Mobile balance top up,Concession on the next purchase,Male,31-40 years,Gen X,Employed,Public,Govt. Agency,Married with no kids,Gulshan,"50,001-100,000",Emerging,I think online payment system is not secured yet
111,Email,"Yes, but at regular price",Once/twice in a year,Once/twice in a year,Once/twice in a year,I prefer having some light snacks like sandwich,"1,001-2,000",Price,"Yes, at a discounted price",Internet balance top up,Cashback offer,,Yes,Monthly Limited,Facebook,WhatsApp,Ecommerce apps,"2,001 - 3,000",Once/twice in 6 months,Furniture,Electronic gadgets,,"2,001 - 3,000",31-50%,Easy to use mobile app,Call center facilities,,Yes,I am more comfortable visiting physically,I find the technology difficult and it will not be easier in the future,I find the payment complicated and it will not be easier in the future,Payment is difficult,,,Yes,Don't have to travel,,,MaxPay,Mobile balance top up,Internet balance top up,Concession on the next purchase,Male,21-30 years,Millennials,Self-employed,Own Business,Education,Single with no kid,Dhanmondi,"200,001-300,000",Affluent,I think online payment system is not secured yet
112,Sms,"Yes, but at regular price",Once/twice in 6 months,Never,Once/twice in a year,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Environment,"Yes, at regular price",Cash discounts,Internet balance top up,Coupons,Yes,Monthly unlimited,Ecommerce apps,YouTube,Food ordering apps,500 - 700,Once/twice in 6 months,Cloths,Commodity,Food,"701 - 1,000",11-30%,Higher Transaction Limit,Easy to use mobile app,Payment gateway integration,No,,,,Finds it complicated,Poor customer service,Description of the product/service is not detailed,Maybe,Easy to make payment/Convenient,Attractive discounts,Don't have to travel,SnapTap,Cash delivered,Internet balance top up,Earning credits for future purchase,Male,31-40 years,Gen X,Student,,,Single with no kid,Gulshan,"Up to 50,000",Aspirant,I think online payment system is not secured yet
113,Sms,"Yes, but at regular price",Once/twice in 6 months,Once/twice in a year,Never,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Environment,"Yes, at a discounted price",Cash discounts,Cashback offer,Coupons,Yes,Monthly unlimited,Ecommerce apps,YouTube,Food ordering apps,500 - 700,Once/twice in 6 months,Cloths,Electronic gadgets,Food,500 - 700,11-30%,Longer transaction time-out,Easy to use mobile app,,No,,,,Cannot trust online transaction,Lack of discount/offers,No option for seat selection,Maybe,Efficient customer service,Reliable call center service,Don't have to travel,SnapTap,Bank Account,Mobile balance top up,Earning credits for future purchase,Male,41-50 years,Baby Boomers,Employed,Own Business,Manufacturing,Married with 1 kid,Dhanmondi,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
114,Email,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in 6 months,Once a month,I don't,"1,001-2,000",Safety,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),,At times,Pay as you go,Facebook,YouTube,Gaming apps,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,More privacy assurance,Higher Transaction Limit,Easy to use mobile app,No,,,,Can't find what is being looked for,Less option to choose from,No option for seat selection,Maybe,Attractive discounts,Don't have to travel,Floating deals during off-peak hours,Chime,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Self-employed,Private - Not for Profit,Education,Single with no kid,Baridhara,"Up to 50,000",Aspirant,I use internet mainly for socialization
115,Email,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in 6 months,Twice a month,I prefer having chocolates/ice-creams,"501-1,000",Quality of the room,No,Internet balance top up,Cashback offer,Coupons,Yes,Monthly unlimited,Food ordering apps,Uber,Shohoz.com,"1,001 - 2,000",Once/twice in a year,Electronic gadgets,Food,,"More than 3,000",51-70%,More privacy assurance,Easy to use mobile app,,No,,,,I purchase online,,,Yes,Attractive discounts,Last minute deals,Insurance facilities,Chime,Bank Account,Cash delivered,,Male,31-40 years,Gen X,Employed,Private - For Profit,Media,Single with no kid,Mohakhali,"50,001-100,000",Emerging,I like to explore new things
116,Sms,"Yes, at a discounted price",Once/twice in 6 months,More than twice a month,Twice a month,I prefer having some light snacks like sandwich,"501-1,000",Luxury,No,Cash discounts,Cashback offer,,Yes,Monthly unlimited,Facebook,Viber,Gaming apps,"More than 3,000",Once/twice in a year,Electronic gadgets,Food,,"More than 3,000",11-30%,Call center facilities,Longer transaction time-out,Chatting services,No,,,,Can't find what is being looked for,No option for seat selection,Love the touch and feel,Yes,Last minute deals,Don't have to travel,,Chime,Bank Account,Cash delivered,Rocket,Male,31-40 years,Gen X,Employed,Private - For Profit,Telecom,Single with no kid,Khilkhet,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
117,I don't prefer,No,Once/twice in 6 months,More than twice a month,Once a month,I prefer having tea/coffee,"501-1,000",Safety,No,Cash discounts,Cashback offer,Coupons,At times,Monthly Limited,Facebook,Imo,Viber,"2,001 - 3,000",Never,I don't shop online,,,I don't shop online,I don't shop online,More privacy assurance,Higher Transaction Limit,Easy to use mobile app,No,,,,Can't find what is being looked for,Love the touch and feel,Over price,No,,,,SnapTap,Cash delivered,,,Male,31-40 years,Gen X,Self-employed,Own Business,Aquaculture,Single with no kid,Mohammadpur,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
118,Email,"Yes, at a discounted price",Once/twice in a year,Once/twice in a year,Once/twice in a year,I prefer complementary meal/food service,Up to 500,Safety,"Yes, at a discounted price",Cash discounts,Cashback offer,Coupons,At times,Monthly Limited,Facebook,Imo,Viber,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,More privacy assurance,,No,,,,I purchase online,,,Maybe,Attractive discounts,Don't have to travel,Floating deals during off-peak hours,Chime,Bank Account,Cash delivered,Mobicash,Male,31-40 years,Gen X,Employed,Private - Not for Profit,NGO,Married with no kids,Mirpur,"Up to 50,000",Aspirant,I love the touch and feel of the product while shopping
119,,No,Once/twice in a year,Never,Once/twice in a year,I prefer having some soft drinks with popcorns/French fries,"501-1,000",,No,Cash discounts,,,,Monthly Limited,Food ordering apps,Maps,,,Once/twice in a year,Cloths,Food,,,,Easy to use mobile app,High Security ,,No,I am more comfortable visiting physically,,,Can't find what is being looked for,Can't tell if the product is genuine,,Maybe,Attractive discounts,Easy to make payment/Convenient,Last minute deals,SnapTap,Cash delivered,,,Female,21-30 years,Millennials,Employed,Private - For Profit,Engineer,,Niketon,"50,001-100,000",Emerging,I use internet mainly for work/business
120,,"Yes, at a discounted price",Once/twice in a year,Never,Once/twice in a year,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Discount/Offers,No,Cash discounts,Cashback offer,Coupons,,Customized,Facebook,WhatsApp,Imo,"1,001 - 2,000",Once/twice in a year,Cloths,Accessories,,"2,001 - 3,000",,Easy to use mobile app,More privacy assurance,,,I am more comfortable visiting physically,Poor customer service,Poor quality of product/service,Can't find what is being looked for,Cannot trust online transaction,Description of the product/service is not detailed,Maybe,Efficient customer service,Reliable call center service,,MaxPay,Bank Account,Concession on the next purchase,,Female,21-30 years,Millennials,Employed,Private - For Profit,Healthcare,,Dhanmondi,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
121,Phone call,"Yes, at a discounted price",More than twice a month,Never,Never,I prefer having some soft drinks with popcorns/French fries,Up to 500,Quality of the service,"Yes, at a discounted price",Cash discounts,,,Yes,Monthly Limited,Facebook,WhatsApp,Ecommerce apps,Up to 500,Once/twice in 6 months,Cloths,Accessories,,500 - 700,Up to 10%,Easy to use mobile app,More privacy assurance,,Yes,Poor customer service,Over priced,User experience (App) was poor,,,,Maybe,Attractive discounts,Don't have to travel,Easy to make payment/Convenient,MaxPay,Bank Account,Cash delivered,,Female,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Mohammadpur,"Up to 50,000",Aspirant,I think online payment system is not secured yet
122,Sms,No,Once/twice in a year,Once/twice in a year,Once/twice in a year,I prefer having some light snacks like sandwich,"1,001-2,000",Price,No,Cash discounts,Coupons,,At times,Customized,WhatsApp,Viber,Uber,"701 - 1,000",Once/twice in a year,Food,,,"701 - 1,000",Up to 10%,More privacy assurance,Longer transaction time-out,,Maybe,I am more comfortable visiting physically,Poor customer service,No option for seat selection,Poor customer service,Less option to choose from,Description of the product/service is not detailed,No,,,,MaxPay,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Mohammadpur,"50,001-100,000",Emerging,I think online payment system is not secured yet
123,Sms,"Yes, at a discounted price",Once a month,Never,Once/twice in 6 months,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Price,"Yes, at a discounted price",Cash discounts,Cashback offer,,Yes,Customized,Facebook,WhatsApp,,Up to 500,Once/twice in 6 months,Cloths,Accessories,Food,"1,001 - 2,000",Up to 10%,Easy to use mobile app,More privacy assurance,,No,I find the payment complicated and it will not be easier in the future,Less option to choose from,User experience (App) was poor,Can't find what is being looked for,,,Yes,Don't have to travel,,,MaxPay,Cash delivered,Earning credits for future purchase,,Female,31-40 years,Gen X,Homemaker,Not Applicable,Not employed,Single with no kid,Khilgaon,"Up to 50,000",Aspirant,I use internet mainly for socialization
124,Sms,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in a year,Once/twice in a year,I prefer complementary meal/food service,"501-1,000",Discount/Offers,"Yes, at a discounted price",Internet balance top up,Coupons,,At times,Monthly Limited,Facebook,WhatsApp,,500 - 700,Once/twice in 6 months,Accessories,Electronic gadgets,Commodity,500 - 700,51-70%,Call center facilities,Higher Transaction Limit,Easy to use mobile app,Maybe,I find the technology difficult and it will not be easier in the future,I find the payment complicated and it will not be easier in the future,It is not safe to transact online,Finds it complicated,Cannot trust online transaction,Less option to choose from,Maybe,Don't have to travel,Can transfer funds between accounts easily,,PayUp,Cash delivered,Earning credits for future purchase,,Male,41-50 years,Baby Boomers,Employed,Private - For Profit,FMCG,Married with 1 kid,Tejgaon,"100,001-200,000",Established,I like to explore new things
125,Website,"Yes, at a discounted price",Once a month,Never,,I prefer having some light snacks like sandwich,"2,001-3,000",Environment,"Yes, at regular price",Cash discounts,Internet balance top up,Cashback offer,No,Monthly Limited,YouTube,Viber,Shohoz.com,500 - 700,More than twice a month,Accessories,,,"2,001 - 3,000",51-70%,Easy to use mobile app,Higher Transaction Limit,High mobile optimization,Maybe,I find the payment complicated and it will not be easier in the future,Less option to choose from,It is not safe to transact online,Can't find what is being looked for,Cannot trust online transaction,Poor customer service,No,,,,PayUp,Cash delivered,Internet balance top up,,Male,21-30 years,Millennials,Employed,Private - For Profit,Engineer,Married with 1 kid,Banani,"200,001-300,000",Affluent,I use internet mainly for socialization
126,Website,"Yes, at a discounted price",More than twice a month,Once a month,Once/twice in 6 months,I would rather prefer snacks/meal coupon while buying tickets to avoid any hassle,"501-1,000",Discount/Offers,No,Cash discounts,Cashback offer,Coupons,No,I don't use internet in my phone,Facebook,WhatsApp,Viber,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,More privacy assurance,,No,,,,Poor customer service,Love the touch and feel,Over price,No,,,,SnapTap,Cash delivered,,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Bashundhara,"Up to 50,000",Aspirant,I use internet mainly for socialization
127,I don't prefer,No,More than twice a month,More than twice a month,More than twice a month,I prefer having some soft drinks with popcorns/French fries,"2,001-3,000",Quality of the service,No,Gifts (T-shirt/Mug),Internet balance top up,,Yes,Monthly Limited,Facebook,Instagram,Food ordering apps,"2,001 - 3,000",Once/twice in a year,Cloths,Furniture,Accessories,"2,001 - 3,000",11-30%,High Security ,Easy to use mobile app,Chatting services,Yes,I find the payment complicated and it will not be easier in the future,Less option to choose from,No option for seat selection,Cannot trust online transaction,Payment is difficult,Poor customer service,No,Don't have to travel,Easy to make payment/Convenient,,Chime,Bank Account,Cash delivered,Mobile balance top up,Male,31-40 years,Gen X,Employed,Private - For Profit,FMCG,Single with no kid,Baridhara,"Up to 50,000",Aspirant,I use internet mainly for work/business
128,Sms,"Yes, at a discounted price",Twice a month,More than twice a month,Once/twice in 6 months,I prefer complementary meal/food service,"1,001-2,000",Safety,"Yes, at a discounted price",Cash discounts,Cashback offer,Coupons,Yes,Monthly unlimited,Viber,Maps,Shohoz.com,"More than 3,000",Once/twice in a year,Accessories,Electronic gadgets,Food,"1,001 - 2,000",Up to 10%,Easy to use mobile app,More privacy assurance,,No,,,,I purchase online,,,Yes,Easy to make payment/Convenient,Last minute deals,Don't have to travel,Chime,Bank Account,Cash delivered,Concession on the next purchase,Male,31-40 years,Gen X,Employed,Private - For Profit,Telecom,Single with no kid,Mirpur,"50,001-100,000",Emerging,I like to explore new things
129,Phone call,"Yes, at a discounted price",Once a month,Once a month,Once a month,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Quality of the service,"Yes, at a discounted price",Gifts (T-shirt/Mug),Coupons,,At times,Monthly Limited,Facebook,YouTube,Instagram,Up to 500,Once a month,Cloths,Electronic gadgets,Food,"1,001 - 2,000",11-30%,Easy to use mobile app,High Security ,Higher Transaction Limit,Maybe,I am more comfortable visiting physically,Call center service was not up to the mark,Slow speed of delivery,Finds it complicated,,,Maybe,Attractive discounts,Don't have to travel,Easy to make payment/Convenient,MaxPay,Bank Account,Internet balance top up,,Male,21-30 years,Millennials,Employed,Private - For Profit,Telecom,Single with no kid,Mohammadpur,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
130,Sms,"Yes, but at regular price",Once a month,Once/twice in 6 months,Once/twice in a year,I prefer having some light snacks like sandwich,"501-1,000",Quality of the service,No,Cash discounts,Cashback offer,,Yes,Customized,Facebook,YouTube,Instagram,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,Call center facilities,,No,I am more comfortable visiting physically,Poor customer service,No bargaining option,Cannot trust online transaction,Payment is difficult,Less option to choose from,Maybe,Easy to make payment/Convenient,,,MaxPay,Bank Account,Cash delivered,Internet balance top up,Female,21-30 years,Millennials,Employed,Private - For Profit,Telecom,Single with no kid,Dhanmondi,"50,001-100,000",Emerging,I think online payment system is not secured yet
